
0,2.0489646613021057,1671286009278
1,1.9629949462234555,1671286015204
2,1.8992993623925472,1671286021161
3,1.8480685066104443,1671286027113
4,1.797201080753332,1671286032922
7,1.6447358956038711,1671286038847
8,1.6010324119887593,1671286044957
15,1.3374949613664082,1671286051141
16,1.307165278547816,1671286057409
31,1.0327699044233192,1671286063919
32,1.023702308858846,1671286070893
63,0.8217516382217096,1671286080103
64,0.8185910020830781,1671286088739
127,0.7184950835338976,1671286099072
128,0.7175584315221527,1671286108032
